date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:34	1484/1484	---M-Z	200	added ('OK')	application/x-javascript	etag:%225cc-657400db-3210e;gz%22	https://html.dynamiclayers.net/dl/naven/light/js/contact.js	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/js/contact.js	(from https://html.dynamiclayers.net/dl/naven/light/index.html)
14:34:34	4479/4479	---M-Z	200	added ('OK')	application/x-javascript	etag:%22117f-657400db-3210f;gz%22	https://html.dynamiclayers.net/dl/naven/light/js/main.js	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/js/main.js	(from https://html.dynamiclayers.net/dl/naven/light/index.html)
14:34:34	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-657400da-320e2;gz%22	https://html.dynamiclayers.net/dl/naven/light/fonts/themify.eot?-fvbane	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/fonts/themify9f24.eot	(from https://html.dynamiclayers.net/dl/naven/light/css/themify-icons.css)
14:34:35	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-657400da-320e2;gz%22	https://html.dynamiclayers.net/dl/naven/light/fonts/themify.eot?	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/fonts/themifyd41d.eot	(from https://html.dynamiclayers.net/dl/naven/light/css/themify-icons.css)
14:34:35	56108/56108	---M--	200	added ('OK')	application/font-woff	etag:%22db2c-657400da-320e5;;;%22	https://html.dynamiclayers.net/dl/naven/light/fonts/themify.woff?-fvbane	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/fonts/themify9f24.woff	(from https://html.dynamiclayers.net/dl/naven/light/css/themify-icons.css)
14:34:35	78584/78584	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22132f8-657400da-320e4;gz%22	https://html.dynamiclayers.net/dl/naven/light/fonts/themify.ttf?-fvbane	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/fonts/themify9f24.ttf	(from https://html.dynamiclayers.net/dl/naven/light/css/themify-icons.css)
14:34:35	234269/234269	---M-Z	200	added ('OK')	image/svg+xml	etag:%223931d-657400da-320e3;gz%22	https://html.dynamiclayers.net/dl/naven/light/fonts/themify.svg?-fvbane	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/fonts/themify9f24.svg	(from https://html.dynamiclayers.net/dl/naven/light/css/themify-icons.css)
14:34:35	32694/32694	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%227fb6-657400da-320c7;gz%22	https://html.dynamiclayers.net/dl/naven/light/fonts/et-line.eot	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/fonts/et-line.eot	(from https://html.dynamiclayers.net/dl/naven/light/css/elegant-line-icons.css)
14:34:36	32694/32694	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%227fb6-657400da-320c7;gz%22	https://html.dynamiclayers.net/dl/naven/light/fonts/et-line.eot?	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/fonts/et-lined41d.eot	(from https://html.dynamiclayers.net/dl/naven/light/css/elegant-line-icons.css)
14:34:36	55220/55220	---M--	200	added ('OK')	application/font-woff	etag:%22d7b4-657400da-320ca;;;%22	https://html.dynamiclayers.net/dl/naven/light/fonts/et-line.woff	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/fonts/et-line.woff	(from https://html.dynamiclayers.net/dl/naven/light/css/elegant-line-icons.css)
